"","Iteration","Combo","CV_S_L","CV_C_L","CV_S_R","CV_C_R","phi_S_L2R","phi_C_L2R","phi_S2C_L","phi_S2C_R","mean_metacom","sd_metacom","combo_type","cv_diff","taxa"
"1","Iteration_1","Glacier-fed_Glacier-fed_Glacier-fed",1.50148835642476,1.18900233616805,1.42854558201757,1.16836293321765,0.95141968694258,0.982641410935388,0.791882488519075,0.817868850616261,0.532920540809011,0.622644606231553,"Homogenous",0.0206394029504045,"inverts"
"2","Iteration_1","Glacier-fed_Glacier-fed_Rain-fed",1.38463608486913,0.824105834746656,1.35200782684134,0.770287536030351,0.976435499273535,0.93469491848356,0.59517864928715,0.56973600354811,5.55887998253918,4.28193596483854,"2:1",0.0538182987163046,"inverts"
"3","Iteration_1","Glacier-fed_Glacier-fed_Snow-fed",1.3673187501937,1.014687769275,1.31263221302863,0.909444200370584,0.960004543814441,0.896279848746365,0.742100383784877,0.692840074579784,3.63752105808246,3.30812242999896,"2:1",0.105243568904416,"inverts"
"4","Iteration_1","Glacier-fed_Rain-fed_Rain-fed",1.38368968458216,0.970377244470233,1.35923048171533,0.952951839007513,0.982323202131684,0.982042648297845,0.70129686972644,0.70109657767894,10.8812965115283,10.3693515214469,"2:1",0.01742540546272,"inverts"
"5","Iteration_1","Glacier-fed_Rain-fed_Snow-fed",1.39066155606767,1.01036312775622,1.19104914589326,0.786290138510136,0.856462264809524,0.778225290402574,0.726534161635407,0.660165989977212,9.00460439105437,7.08023163387112,"Heterogenous",0.224072989246082,"inverts"
"6","Iteration_1","Glacier-fed_Snow-fed_Snow-fed",1.36702771009396,0.985915273576838,1.33900717522556,0.954971503710881,0.979502584577109,0.968614169295,0.721210891554697,0.713193716493727,6.71764399251324,6.41515858492474,"2:1",0.0309437698659568,"inverts"
"7","Iteration_1","Rain-fed_Rain-fed_Rain-fed",1.29966014602291,0.854905536549834,1.27996626459255,0.840722827910958,0.984846899021545,0.983410203779807,0.657791607418241,0.656832020630312,14.7649223160026,12.4132072433953,"Homogenous",0.0141827086388765,"inverts"
"8","Iteration_1","Rain-fed_Rain-fed_Snow-fed",1.49477410077586,1.08523481828998,1.38763558714812,0.95367639220172,0.928324612011855,0.87877423035914,0.726019281259085,0.687267176652428,13.716258787769,13.0808721952247,"2:1",0.131558426088262,"inverts"
"9","Iteration_1","Rain-fed_Snow-fed_Snow-fed",1.42944595497568,1.01625766428237,1.23514243381494,0.836609661352169,0.86407074679221,0.823225930544826,0.710945146785674,0.677338611683967,12.0428803148836,10.0751900219395,"2:1",0.179648002930205,"inverts"
"10","Iteration_1","Snow-fed_Snow-fed_Snow-fed",1.31349640234964,0.967382624766519,1.28791017474279,0.954634867138499,0.980520519461583,0.986822424445449,0.736494308652861,0.741227832390679,9.68891997609578,9.24938083409574,"Homogenous",0.0127477576280205,"inverts"
"11","Iteration_2","Glacier-fed_Glacier-fed_Glacier-fed",1.35278548932792,1.04455162434429,1.27516749981873,1.02872565327999,0.942623579184198,0.984849029291165,0.772148749808991,0.806737666562415,0.596485296236533,0.613619726042834,"Homogenous",0.0158259710643063,"inverts"
"12","Iteration_2","Glacier-fed_Glacier-fed_Rain-fed",1.4820463748059,1.10495553230865,1.44737364689189,1.02941456401032,0.976604829306674,0.931634381575068,0.74556069978132,0.711229312638724,5.49665191929986,5.65833353902256,"2:1",0.0755409682983312,"inverts"
"13","Iteration_2","Glacier-fed_Glacier-fed_Snow-fed",1.35387009094487,1.05418252509077,1.30410258141294,0.939358381098979,0.963240557668866,0.891077549419727,0.778643779888102,0.720310192225235,3.48596431456553,3.27456979509908,"2:1",0.114824143991786,"inverts"
"14","Iteration_2","Glacier-fed_Rain-fed_Rain-fed",1.32743927220006,0.905345814695286,1.30138511178725,0.851785558878993,0.980372615939233,0.940840002850934,0.682024280624747,0.654522286419275,10.199416742042,8.68771588986,"2:1",0.0535602558162923,"inverts"
"15","Iteration_2","Glacier-fed_Rain-fed_Snow-fed",1.35543026984548,0.98254210342891,1.15146845258337,0.762908054566035,0.84952245659575,0.776463473579007,0.724893139313557,0.662552285175002,8.36846032024255,6.3843657826293,"Heterogenous",0.219634048862875,"inverts"
"16","Iteration_2","Glacier-fed_Snow-fed_Snow-fed",1.38140397872745,1.03671710588169,1.3452749288441,0.993705206277965,0.973846137379281,0.958511440237938,0.750480758595118,0.738663291028392,6.01006136049888,5.97222926397777,"2:1",0.043011899603724,"inverts"
"17","Iteration_2","Rain-fed_Rain-fed_Rain-fed",1.46142343923,1.01469449512526,1.43367710606357,0.991807745625474,0.981014172606228,0.977444689401846,0.694319297123007,0.691792971674543,18.0119455890396,17.864387148994,"Homogenous",0.0228867494997878,"inverts"
"18","Iteration_2","Rain-fed_Rain-fed_Snow-fed",1.37154205551026,0.935872020948142,1.24711607615567,0.822821656352223,0.90928023034022,0.879203179424697,0.682350218273085,0.65977952821251,13.716628228131,11.2863387582384,"2:1",0.113050364595919,"inverts"
"19","Iteration_2","Rain-fed_Snow-fed_Snow-fed",1.27559748184424,0.872896301177369,1.0617053140136,0.725138603987307,0.83232001405224,0.830727089814947,0.68430387610624,0.682994230523387,10.5781008868377,7.67058930991837,"2:1",0.147757697190062,"inverts"
"20","Iteration_2","Snow-fed_Snow-fed_Snow-fed",1.32081195040119,1.05489140021855,1.30843209079277,1.05173941724377,0.990627083889828,0.997012030836416,0.798668879319366,0.803816586771823,9.38011170097136,9.86543321406104,"Homogenous",0.00315198297478259,"inverts"
