"","Iteration","Combo","CV_S_L","CV_C_L","CV_S_R","CV_C_R","phi_S_L2R","phi_C_L2R","phi_S2C_L","phi_S2C_R","mean_metacom","sd_metacom","combo_type","cv_diff","taxa"
"1","Iteration_1","Glacier-fed_Glacier-fed_Glacier-fed",1.16949765063813,1.16949765063813,1.16466767263279,1.16466767263279,0.995870040437701,0.995870040437701,1,1,0.411736934551738,0.47953669730133,"Homogenous",0.00482997800533957,"Periphyton"
"2","Iteration_1","Glacier-fed_Glacier-fed_Rain-fed",0.907732306041552,0.907732306041552,0.568665950488514,0.568665950488514,0.626468780171941,0.626468780171941,1,1,0.654874480247107,0.372404818760392,"2:1",0.339066355553038,"Periphyton"
"3","Iteration_1","Glacier-fed_Glacier-fed_Snow-fed",0.836203540066512,0.836203540066512,0.604473049739688,0.604473049739688,0.722877888906818,0.722877888906818,1,1,0.627306995220452,0.379190172523946,"2:1",0.231730490326824,"Periphyton"
"4","Iteration_1","Glacier-fed_Rain-fed_Rain-fed",0.872317663198553,0.872317663198553,0.673765674340327,0.673765674340327,0.772385683295477,0.772385683295477,1,1,0.963962080788048,0.649484561400665,"2:1",0.198551988858225,"Periphyton"
"5","Iteration_1","Glacier-fed_Rain-fed_Snow-fed",0.796790573347453,0.796790573347453,0.518783877949014,0.518783877949014,0.651091887005533,0.651091887005533,1,1,0.91820064953903,0.476347693703161,"Heterogenous",0.278006695398439,"Periphyton"
"6","Iteration_1","Glacier-fed_Snow-fed_Snow-fed",0.682492304966301,0.682492304966301,0.468615803732236,0.468615803732236,0.68662430377933,0.68662430377933,1,1,0.760333314883809,0.356304207458672,"2:1",0.213876501234065,"Periphyton"
"7","Iteration_1","Rain-fed_Rain-fed_Rain-fed",0.790287853045143,0.790287853045143,0.783966265934183,0.783966265934183,0.992000905636343,0.992000905636343,1,1,1.189672060654,0.932662763077137,"Homogenous",0.0063215871109602,"Periphyton"
"8","Iteration_1","Rain-fed_Rain-fed_Snow-fed",0.706053290875576,0.706053290875576,0.565495648956139,0.565495648956139,0.800924882390774,0.800924882390774,1,1,1.07180101098222,0.606098808257239,"2:1",0.140557641919437,"Periphyton"
"9","Iteration_1","Rain-fed_Snow-fed_Snow-fed",0.637650273612889,0.637650273612889,0.512261358484474,0.512261358484474,0.803357858818174,0.803357858818174,1,1,1.09727863709433,0.562093445273931,"2:1",0.125388915128416,"Periphyton"
"10","Iteration_1","Snow-fed_Snow-fed_Snow-fed",0.64462040631386,0.64462040631386,0.621696880438556,0.621696880438556,0.964438721376526,0.964438721376526,1,1,1.10713456426441,0.688302104828883,"Homogenous",0.0229235258753039,"Periphyton"
"11","Iteration_2","Glacier-fed_Glacier-fed_Glacier-fed",1.22391658041668,1.22391658041668,1.21755541524836,1.21755541524836,0.994802615415057,0.994802615415057,1,1,0.412402457481058,0.502122845367794,"Homogenous",0.0063611651683142,"Periphyton"
"12","Iteration_2","Glacier-fed_Glacier-fed_Rain-fed",0.914628158816687,0.914628158816687,0.57282974977589,0.57282974977589,0.626297959727148,0.626297959727148,1,1,0.617416018695775,0.353674263497127,"2:1",0.341798409040798,"Periphyton"
"13","Iteration_2","Glacier-fed_Glacier-fed_Snow-fed",0.961694828066849,0.961694828066849,0.596851635696924,0.596851635696924,0.620624774385743,0.620624774385743,1,1,0.609058858366437,0.363517775851709,"2:1",0.364843192369925,"Periphyton"
"14","Iteration_2","Glacier-fed_Rain-fed_Rain-fed",0.950654896228042,0.950654896228042,0.759361160168444,0.759361160168444,0.798776888628458,0.798776888628458,1,1,0.96410800418155,0.732106172582985,"2:1",0.191293736059597,"Periphyton"
"15","Iteration_2","Glacier-fed_Rain-fed_Snow-fed",0.822388041281482,0.822388041281482,0.433852300198461,0.433852300198461,0.527551810605627,0.527551810605627,1,1,0.842645672580623,0.365583763301382,"Heterogenous",0.388535741083021,"Periphyton"
"16","Iteration_2","Glacier-fed_Snow-fed_Snow-fed",0.658965860580713,0.658965860580713,0.447453108939227,0.447453108939227,0.67902320242343,0.67902320242343,1,1,0.793327109373137,0.354976681494781,"2:1",0.211512751641485,"Periphyton"
"17","Iteration_2","Rain-fed_Rain-fed_Rain-fed",0.731715202791642,0.731715202791642,0.724610045361782,0.724610045361782,0.990289722828291,0.990289722828291,1,1,1.19453147997813,0.865569509893033,"Homogenous",0.00710515742986029,"Periphyton"
"18","Iteration_2","Rain-fed_Rain-fed_Snow-fed",0.727453511128091,0.727453511128091,0.640210454590618,0.640210454590618,0.880070609045268,0.880070609045268,1,1,1.04867119981889,0.67137026555214,"2:1",0.0872430565374732,"Periphyton"
"19","Iteration_2","Rain-fed_Snow-fed_Snow-fed",0.686045494265096,0.686045494265096,0.627534940110997,0.627534940110997,0.914713303063411,0.914713303063411,1,1,1.12156540609322,0.703821479943276,"2:1",0.0585105541540996,"Periphyton"
"20","Iteration_2","Snow-fed_Snow-fed_Snow-fed",0.689647567622021,0.689647567622021,0.676945701457061,0.676945701457061,0.981582090967483,0.981582090967483,1,1,1.01954563609841,0.690177035796125,"Homogenous",0.0127018661649592,"Periphyton"
"21","Iteration_3","Glacier-fed_Glacier-fed_Glacier-fed",1.1871663531499,1.1871663531499,1.18227013521875,1.18227013521875,0.995875710326397,0.995875710326397,1,1,0.389674675870124,0.460700731732294,"Homogenous",0.00489621793114448,"Periphyton"
"22","Iteration_3","Glacier-fed_Glacier-fed_Rain-fed",0.801433697754786,0.801433697754786,0.502149270146499,0.502149270146499,0.626563708954676,0.626563708954676,1,1,0.615096182500085,0.308870099112315,"2:1",0.299284427608287,"Periphyton"
