"","Iteration","Combo","GammaCV","AlphaCV","PhiCV","GammaHBD","AlphaHBD","PhiHBD","combo_type","HBD_diff","taxa"
"1","Iteration_1","Glacier-fed_Glacier-fed_Glacier-fed",1.21636904951206,1.27763166155289,0.952049863912758,0.303921421273684,0.346670636640585,0.876686367841353,"Homogenous",0.042749215366901,"inverts"
"2","Iteration_1","Glacier-fed_Glacier-fed_Rain-fed",0.656011643705674,0.772372902726827,0.849345751760135,0.212598354194046,0.233390485953492,0.910912684917285,"2:1",0.0207921317594468,"inverts"
"3","Iteration_1","Glacier-fed_Glacier-fed_Snow-fed",0.824169284968478,1.02458537485979,0.804392981972109,0.178904493062863,0.217945893845853,0.820866545847373,"2:1",0.0390414007829893,"inverts"
"4","Iteration_1","Glacier-fed_Rain-fed_Rain-fed",0.923049554176007,0.977190285798792,0.944595507743378,0.204541631423004,0.219759188767306,0.930753487807896,"2:1",0.0152175573443022,"inverts"
"5","Iteration_1","Glacier-fed_Rain-fed_Snow-fed",0.631006863801566,1.00176298199336,0.629896367847366,0.17217541087115,0.205564436840118,0.837573918513266,"Heterogenous",0.0333890259689677,"inverts"
"6","Iteration_1","Glacier-fed_Snow-fed_Snow-fed",0.907613946219551,0.987102724390296,0.919472638250651,0.155986130978978,0.191884245900242,0.812917862261987,"2:1",0.0358981149212639,"inverts"
"7","Iteration_1","Rain-fed_Rain-fed_Rain-fed",0.793178557925655,0.797408214198973,0.99469574529331,0.203513786097667,0.216749588693198,0.938935050925214,"Homogenous",0.0132358025955309,"inverts"
"8","Iteration_1","Rain-fed_Rain-fed_Snow-fed",0.731268718679882,0.936786752978906,0.780613855132459,0.158406004204926,0.207391358373746,0.763802337026299,"2:1",0.0489853541688201,"inverts"
"9","Iteration_1","Rain-fed_Snow-fed_Snow-fed",0.550788638498711,0.807108001401202,0.682422473253268,0.167376540687481,0.202031009484472,0.828469555810172,"2:1",0.0346544687969908,"inverts"
"10","Iteration_1","Snow-fed_Snow-fed_Snow-fed",1.01620092552524,1.04267127510754,0.974612948285569,0.172695094392621,0.183333928186098,0.941970185776643,"Homogenous",0.0106388337934776,"inverts"
"11","Iteration_2","Glacier-fed_Glacier-fed_Glacier-fed",1.03929356924794,1.09662498411293,0.94772012703015,0.297845696766379,0.340113597835574,0.875724165872281,"Homogenous",0.0422679010691956,"inverts"
"12","Iteration_2","Glacier-fed_Glacier-fed_Rain-fed",0.802161543367349,0.901687904042751,0.889622162802481,0.202527477357567,0.21743794424508,0.931426564304214,"2:1",0.0149104668875139,"inverts"
"13","Iteration_2","Glacier-fed_Glacier-fed_Snow-fed",0.889178979138508,1.11360522310874,0.798468757767027,0.159448798084225,0.202797099989729,0.78624792017391,"2:1",0.0433483019055042,"inverts"
"14","Iteration_2","Glacier-fed_Rain-fed_Rain-fed",0.745784228507851,0.802264177370332,0.929599313473511,0.196361562003879,0.214498610124874,0.91544444921841,"2:1",0.0181370481209942,"inverts"
"15","Iteration_2","Glacier-fed_Rain-fed_Snow-fed",0.677661223361317,1.09989164404098,0.616116348399197,0.158877432628783,0.19765963303499,0.803793016253643,"Heterogenous",0.0387822004062071,"inverts"
"16","Iteration_2","Glacier-fed_Snow-fed_Snow-fed",0.841901843238201,0.903079067519273,0.932257067535489,0.160377855432259,0.194157230580394,0.826020514161855,"2:1",0.033779375148135,"inverts"
"17","Iteration_2","Rain-fed_Rain-fed_Rain-fed",0.902598220748796,0.910418280276995,0.991410476154082,0.19855510747291,0.210180778256086,0.944687278829031,"Homogenous",0.0116256707831761,"inverts"
"18","Iteration_2","Rain-fed_Rain-fed_Snow-fed",0.683329916544918,0.866722243257768,0.788407037964631,0.177322419507629,0.204318481543325,0.867872637698849,"2:1",0.0269960620356959,"inverts"
"19","Iteration_2","Rain-fed_Snow-fed_Snow-fed",0.511079360955565,0.910464845989232,0.561338928358371,0.172369491782557,0.196857437814211,0.875605685497312,"2:1",0.0244879460316544,"inverts"
"20","Iteration_2","Snow-fed_Snow-fed_Snow-fed",1.07788976989503,1.110108525979,0.970976931236923,0.172380390211866,0.183666787342079,0.938549602279522,"Homogenous",0.0112863971302133,"inverts"
"21","Iteration_3","Glacier-fed_Glacier-fed_Glacier-fed",1.17173522656092,1.21362602386808,0.96548294410032,0.326461490806026,0.378479359914856,0.862560882790192,"Homogenous",0.0520178691088309,"inverts"
"22","Iteration_3","Glacier-fed_Glacier-fed_Rain-fed",1.20673294124499,1.37579036778936,0.877119777473061,0.19630407793317,0.21442132113409,0.915506335353701,"2:1",0.0181172432009201,"inverts"
"23","Iteration_3","Glacier-fed_Glacier-fed_Snow-fed",0.890100664604566,1.11766247434965,0.796394873257689,0.164936085776574,0.191724943693555,0.860274529746115,"2:1",0.0267888579169815,"inverts"
"24","Iteration_3","Glacier-fed_Rain-fed_Rain-fed",0.830161358805412,0.856876453651819,0.968822699313824,0.201994496359692,0.215447752426852,0.93755675835269,"2:1",0.0134532560671598,"inverts"
"25","Iteration_3","Glacier-fed_Rain-fed_Snow-fed",0.575513662180037,0.856164996229287,0.672199476403156,0.180706648265997,0.210799801923426,0.857242969951366,"Heterogenous",0.0300931536574287,"inverts"
"26","Iteration_3","Glacier-fed_Snow-fed_Snow-fed",0.896326579396211,0.978208023645237,0.91629444630407,0.154034500473574,0.187938681468535,0.819599771957336,"2:1",0.0339041809949614,"inverts"
"27","Iteration_3","Rain-fed_Rain-fed_Rain-fed",0.825944211513731,0.859930992486493,0.960477315889629,0.196510945125049,0.2069764951161,0.949436045937585,"Homogenous",0.0104655499910501,"inverts"
