"","Date","Stream","Discharge_cms"
"120",2018-04-30,"Steep",0.141364740600659
"121",2018-05-01,"Herbert",4.7519746891968
"122",2018-05-01,"Montana",1.236616586228
"123",2018-05-01,"Peterson",1.94785394609807
"124",2018-05-01,"Steep",0.770974680876414
"125",2018-05-02,"Herbert",6.7215190020654
"126",2018-05-02,"Montana",1.60768805799
"127",2018-05-02,"Peterson",4.79966993302696
"128",2018-05-02,"Steep",1.03188732774975
"129",2018-05-03,"Herbert",6.5541720996648
"130",2018-05-03,"Montana",6.04348938045
"131",2018-05-03,"Peterson",1.30328695367487
"132",2018-05-03,"Steep",0.264146683694857
"133",2018-05-04,"Herbert",6.631409131542
"134",2018-05-04,"Montana",2.218075794648
"135",2018-05-04,"Peterson",2.30610739173698
"136",2018-05-04,"Steep",0.988972733067357
"137",2018-05-05,"Herbert",9.8367459544458
"138",2018-05-05,"Montana",2.172746114564
"139",2018-05-05,"Peterson",8.21675460688165
"140",2018-05-05,"Steep",1.95568128835517
"141",2018-05-06,"Herbert",13.647106193721
"142",2018-05-06,"Montana",7.01977803737
"143",2018-05-06,"Peterson",4.69262464589916
"144",2018-05-06,"Steep",1.24904132351022
"145",2018-05-07,"Herbert",13.1708111638116
"146",2018-05-07,"Montana",9.10217754016
"147",2018-05-07,"Peterson",1.4634294856826
"148",2018-05-07,"Steep",0.826192832291026
"149",2018-05-08,"Herbert",15.063118444803
"150",2018-05-08,"Montana",3.97749959587
"151",2018-05-08,"Peterson",0.974286499313288
"152",2018-05-08,"Steep",0.837981452691383
"153",2018-05-09,"Herbert",18.023871333429
"154",2018-05-09,"Montana",3.58601809449
"155",2018-05-09,"Peterson",0.77554393338051
"156",2018-05-09,"Steep",0.846424270100981
"157",2018-05-10,"Herbert",20.984624222055
"158",2018-05-10,"Montana",3.56596952832
"159",2018-05-10,"Peterson",0.708937485365638
"160",2018-05-10,"Steep",0.991901981420307
"161",2018-05-11,"Herbert",21.499537767903
"162",2018-05-11,"Montana",3.83768963508
"163",2018-05-11,"Peterson",1.070818842275
"164",2018-05-11,"Steep",1.1828998695796
"165",2018-05-12,"Herbert",26.133759680535
"166",2018-05-12,"Montana",3.87258723955
"167",2018-05-12,"Peterson",4.7999629327002
"168",2018-05-12,"Steep",2.04887503356347
"169",2018-05-13,"Herbert",29.094512569161
"170",2018-05-13,"Montana",7.83793798785
"171",2018-05-13,"Peterson",1.57918679572063
"172",2018-05-13,"Steep",1.35414493923353
"173",2018-05-14,"Herbert",33.857462868255
"174",2018-05-14,"Montana",5.12286354639
"175",2018-05-14,"Peterson",1.66534531843941
"176",2018-05-14,"Steep",1.05832539082016
"177",2018-05-15,"Herbert",28.837055796237
"178",2018-05-15,"Montana",7.13321738745
"179",2018-05-15,"Peterson",1.069012390844
"180",2018-05-15,"Steep",0.675720458341444
"181",2018-05-16,"Herbert",22.271908086675
"182",2018-05-16,"Montana",3.73111325291
"183",2018-05-16,"Peterson",0.668631519877671
"184",2018-05-16,"Steep",0.454174075547475
"185",2018-05-17,"Herbert",18.667513265739
"186",2018-05-17,"Montana",2.526458317084
"187",2018-05-17,"Peterson",0.489075826439147
"188",2018-05-17,"Steep",0.429201579884331
"189",2018-05-18,"Herbert",18.152599719891
"190",2018-05-18,"Montana",2.301390786926
"191",2018-05-18,"Peterson",0.383872639837219
"192",2018-05-18,"Steep",0.477964223306159
"193",2018-05-19,"Herbert",19.311155198049
"194",2018-05-19,"Montana",2.499869240279
"195",2018-05-19,"Peterson",0.301988600054306
"196",2018-05-19,"Steep",0.445641826491226
"197",2018-05-20,"Herbert",20.340982289745
"198",2018-05-20,"Montana",2.86536287911
"199",2018-05-20,"Peterson",0.369834523385723
"200",2018-05-20,"Steep",0.504776382431423
"201",2018-05-21,"Herbert",23.044278405447
"202",2018-05-21,"Montana",2.84199983392
"203",2018-05-21,"Peterson",0.587926024881008
"204",2018-05-21,"Steep",0.731637325598593
"205",2018-05-22,"Herbert",28.579599023313
"206",2018-05-22,"Montana",3.19265806175
"207",2018-05-22,"Peterson",1.6958733648317
"208",2018-05-22,"Steep",1.18836533960005
"209",2018-05-23,"Herbert",29.995611274395
"210",2018-05-23,"Montana",3.74038032846
"211",2018-05-23,"Peterson",2.17894613972804
"212",2018-05-23,"Steep",0.826571210913715
"213",2018-05-24,"Herbert",26.777401612845
"214",2018-05-24,"Montana",4.91123260889
"215",2018-05-24,"Peterson",0.809651283990362
"216",2018-05-24,"Steep",0.510117453440414
"217",2018-05-25,"Herbert",22.658093246061
"218",2018-05-25,"Montana",2.730418018864
"219",2018-05-25,"Peterson",0.824095202992664
"220",2018-05-25,"Steep",0.49064687884372
"221",2018-05-26,"Herbert",21.370809381441
"222",2018-05-26,"Montana",2.366167954764
"223",2018-05-26,"Peterson",4.1071190277534
"224",2018-05-26,"Steep",0.749414838763183
"225",2018-05-27,"Herbert",22.014451313751
"226",2018-05-27,"Montana",3.91493601894
"227",2018-05-27,"Peterson",1.77950568740477
"228",2018-05-27,"Steep",0.575144989869643
"229",2018-05-28,"Herbert",21.885722927289
"230",2018-05-28,"Montana",2.90066733853
"231",2018-05-28,"Peterson",0.942722361134847
"232",2018-05-28,"Steep",0.45104839671773
"233",2018-05-29,"Herbert",15.835488763575
"234",2018-05-29,"Montana",2.184580647335
"235",2018-05-29,"Peterson",0.819709835224838
"236",2018-05-29,"Steep",0.350818788698269
"237",2018-05-30,"Herbert",14.4066036738468
"238",2018-05-30,"Montana",2.003121789361
"239",2018-05-30,"Peterson",0.575145842629452
"240",2018-05-30,"Steep",0.315047854204067
"241",2018-05-31,"Herbert",14.3937308352006
"242",2018-05-31,"Montana",1.799782972601
"243",2018-05-31,"Peterson",0.407647403898281
"244",2018-05-31,"Steep",0.28467692910292
"245",2018-06-01,"Herbert",14.934390058341
"246",2018-06-01,"Montana",1.705831520694
"247",2018-06-01,"Peterson",0.236212145039189
"248",2018-06-01,"Steep",0.265923240117543
"249",2018-06-02,"Herbert",15.578031990651
"250",2018-06-02,"Montana",1.659850777036
"251",2018-06-02,"Peterson",0.209798276448892
"252",2018-06-02,"Steep",0.250379055919444
"253",2018-06-03,"Herbert",15.835488763575
"254",2018-06-03,"Montana",1.69253887825
"255",2018-06-03,"Peterson",0.144488810642194
"256",2018-06-03,"Steep",0.227824937227523
"257",2018-06-04,"Herbert",16.221673922961
"258",2018-06-04,"Montana",1.543152709124
"259",2018-06-04,"Peterson",0.131439250859473
"260",2018-06-04,"Steep",0.287905515356813
"261",2018-06-05,"Herbert",16.479130695885
"262",2018-06-05,"Montana",1.503823302863
"263",2018-06-05,"Peterson",0.395939039647413
"264",2018-06-05,"Steep",0.26836146063722
"265",2018-06-06,"Herbert",16.607859082347
"266",2018-06-06,"Montana",1.726245254782
"267",2018-06-06,"Peterson",0.320938556653557
"268",2018-06-06,"Steep",0.23247295814739
"269",2018-06-07,"Herbert",16.221673922961
"270",2018-06-07,"Montana",1.667507379958
"271",2018-06-07,"Peterson",0.229551025502818
"272",2018-06-07,"Steep",0.228457125199836
"273",2018-06-08,"Herbert",16.350402309423
"274",2018-06-08,"Montana",1.513325941953
"275",2018-06-08,"Peterson",0.179658945130755
"276",2018-06-08,"Steep",0.212989724592911
"277",2018-06-09,"Herbert",16.607859082347
"278",2018-06-09,"Montana",1.50635014449
"279",2018-06-09,"Peterson",0.16635779327744
"280",2018-06-09,"Steep",0.208172586273699
"281",2018-06-10,"Herbert",17.251501014657
"282",2018-06-10,"Montana",1.383633648305
"283",2018-06-10,"Peterson",0.676502437953016
"284",2018-06-10,"Steep",0.292274473113603
"285",2018-06-11,"Herbert",18.924970038663
"286",2018-06-11,"Montana",1.694605615081
"287",2018-06-11,"Peterson",0.769540440816381
"288",2018-06-11,"Steep",0.333224187006342
"289",2018-06-12,"Herbert",20.598439062669
"290",2018-06-12,"Montana",2.263545460965
"291",2018-06-12,"Peterson",0.569594736400942
"292",2018-06-12,"Steep",0.243120981302936
"293",2018-06-13,"Herbert",21.628266154365
"294",2018-06-13,"Montana",2.357121918911
"295",2018-06-13,"Peterson",0.342278649225315
"296",2018-06-13,"Steep",0.221508114484118
"297",2018-06-14,"Herbert",22.014451313751
"298",2018-06-14,"Montana",1.863770145656
"299",2018-06-14,"Peterson",0.26546808389468
"300",2018-06-14,"Steep",0.241181764555403
"301",2018-06-15,"Herbert",21.242080994979
"302",2018-06-15,"Montana",1.696734776901
"303",2018-06-15,"Peterson",0.209755635511677
"304",2018-06-15,"Steep",0.205893464624573
"305",2018-06-16,"Herbert",20.340982289745
"306",2018-06-16,"Montana",1.578443134857
"307",2018-06-16,"Peterson",0.193231211386882
