"","Number","Site","Date","SampleID","SampCode","Dry.Mass..mg.","Ashed.Mass..mg.","AFDM","X750umb","X649umb","X665umb","X632umb","X696umb","X750uma","X649uma","X665uma","X632uma","X696uma","ChlorophyllA_insample","Area_cm2","Subsample.Volume..mL.","Percent.of.Whole.Sample","SubsampleArea_cm2","ChlA_Area_Main","Chlorophyll_bcd_insample","Chla_Pheophytincorrected","Pheophhytin_inSample","Chl_all_area","ChlA_PhCor_area","Ph_area","X","ChlA_Area_Parsons84","Phaeophytin_Area_Parsons84","ChlA_Area_Marker1980","X.1","Comment"
"16",15,"Herbert",2018-11-12,"Peri_05","Herbert43416Peri_05",107.86,103.88,3.98,0.0016,0.003,0.0035,0.0026,0.0016,0.0024,0.0038,0.0045,0.0032,0.0021,0.4165,384.429,120,0.12,46.13148,"0.009028542",0.30327,-0.2844,0.92115,0.006574036,-0.006164988,0.019967926,NA,"-0.006310225","0.026187432","0.0002859",NA,""
"17",17,"Herbert",2019-01-16,"Peri_04","Herbert43481Peri_04",88.76,85.29,3.47,0.0123,0.0196,0.0194,0.0203,0.0147,0.0126,0.0202,0.0202,0.021,0.0153,2.3086,212.153,60,0.06,12.72918,"0.181362821",1.44874,-0.22752,4.13494,0.113812516,-0.017873893,0.324839463,NA,"-0.018294973","0.341658614","0.006405126",NA,""
"18",18,"Herbert",2019-01-16,"Peri_05","Herbert43481Peri_05",76.96,73.81,3.15,0.0031,0.006,0.0079,0.0053,0.0038,0.0038,0.0066,0.0085,0.0058,0.0041,0.9401,364.225,40,0.04,14.569,"0.064527421",0.71577,-0.17064,1.73995,0.049129659,-0.01171254,0.119428238,NA,"-0.011988469","0.130874116","0.003374219",NA,""
"19",47,"Herbert",2019-04-05,"Peri_01","Herbert43560Peri_01",71.78,69.75,2.03,0.0078,0.0127,0.0127,0.0135,0.01,4e-04,0.0036,0.0033,0.0042,6e-04,1.5113,383.604,20,0.02,7.67208,"0.196986997",0.94789,2.67336,0.67551,0.123550589,0.348453092,0.088047831,NA,"0.356662079","-0.26901427","0.019222558",NA,""
"20",48,"Herbert",2019-04-05,"Peri_02","Herbert43560Peri_02",78.95,76.29,2.66,0.0097,0.0157,0.0157,0.0168,0.0122,0.0122,0.0178,0.0174,0.0186,0.0138,1.8683,256.696,60,0.06,15.40176,"0.121304318",1.17469,-0.48348,3.56178,0.076269855,-0.031391218,0.231257986,NA,"-0.032130743","0.26233807","0.002724689",NA,""
"21",66,"Montana",2018-04-17,"Peri_04","Montana43207Peri_04",81.39,77.78,3.61,0.0171,0.0269,0.0261,0.0286,0.0206,0.0228,0.0266,0.0255,0.0285,0.0212,3.1059,84.373,90,0.09,7.59357,"0.409017103",1.91153,0.17064,5.21985,0.251730082,0.022471644,0.687403948,NA,"0.023001039","0.661279872","0.005210593",NA,""
"22",65,"Montana",2018-04-17,"Peri_05","Montana43207Peri_05",72.98,70.35,2.63,0.0047,0.008,0.0086,0.0082,0.0055,0.0087,0.0058,0.0058,0.0058,0.0038,1.0234,NA,NA,NA,NA,"#VALUE!",0.69056,0.79632,1.18726,NA,NA,NA,NA,"#VALUE!","#VALUE!","#VALUE!",NA,"Photo of Area not available"
"23",68,"Montana",2018-05-17,"Peri_02","Montana43237Peri_02",64.68,61.94,2.74,0.0107,0.0176,0.0106,0.0096,0.0093,0.0192,0.0024,0.0018,0.0011,9e-04,1.2614,62.761,90,0.09,5.64849,"0.22331632",0.45716,2.50272,0.36846,0.080934905,0.443077707,0.065231593,NA,"0.453515895","-0.388580665","-0.018255144",NA,""
"24",67,"Montana",2018-05-17,"Peri_03","Montana43237Peri_03",62.21,60.53,1.68,0.01,0.0104,0.0055,0.0048,0.0046,0.0201,0.0019,0.0012,8e-04,6e-04,0.6545,67.433,150,0.15,10.11495,"0.064706202",0.18371,1.22292,0.24564,0.018162225,0.120902229,0.024284846,NA,"0.123750488","-0.099575974","-0.017306462",NA,""
"25",69,"Montana",2018-06-12,"Peri_02","Montana43263Peri_02",88.2,82.51,5.69,0.0159,0.0235,0.0202,0.0126,0.01056,9e-04,0.0053,0.0079,0.0014,0.0013,2.4038,108.701,100,0.1,10.8701,"0.22113872",1.446196,3.49812,1.61713,0.133043486,0.321811207,0.148768641,NA,"0.329392554","-0.181299804","0.021288397",NA,""
"26",70,"Montana",2018-06-12,"Peri_03","Montana43263Peri_03",90.4,85.28,5.12,0.0168,0.0221,0.0182,0.0123,0.0106,0.002,0.004,0.0062,0.0013,0.0017,2.1658,94.075,120,0.12,11.289,"0.191850474",1.2428,3.4128,1.26914,0.110089468,0.302311985,0.112422712,NA,"0.309433962","-0.197522013","0.017205953",NA,""
"27",71,"Montana",2018-07-10,"Peri_01","Montana43291Peri_01",94.55,91.56,2.99,0.0029,0.0088,0.0157,0.005,0.0036,0.0023,0.0068,0.0144,0.0047,0.0036,1.8683,98.527,100,0.1,9.8527,"0.189623149",1.62913,0.36972,2.94768,0.165348585,0.037524739,0.299174845,NA,"0.038408761","0.259406863","0.016306799",NA,""
"28",72,"Montana",2018-07-10,"Peri_02","Montana43291Peri_02",80,76.26,3.74,0.003,0.0088,0.00153,0.0053,0.0036,0.0023,0.0062,0.0105,0.0045,0.0025,0.18207,127.711,100,0.1,12.7711,"0.014256407",-0.253883,-2.551068,2.14935,-0.019879494,-0.199753193,0.168297954,NA,"-0.204459052","0.371992389","-0.000722906",NA,""
"29",73,"Montana",2018-08-17,"Peri_01","Montana43329Peri_01",74.47,69.83,4.64,0.0015,0.0117,0.0224,0.0059,0.0029,0.0015,0.0082,0.0148,0.0043,0.0022,2.6656,86.237,180,0.18,15.52266,"0.171723145",2.4012,2.16144,3.02956,0.154689982,0.139244176,0.195170158,NA,"0.142524542","0.051758912","0.01614356",NA,""
"30",74,"Montana",2018-08-17,"Peri_02","Montana43329Peri_02",92.61,89.72,2.89,0.0017,0.0045,0.0052,0.0021,0.002,0.0015,0.0036,0.0036,0.0024,0.001,0.6188,85.503,160,0.16,13.68048,"0.045232331",0.45414,0.45504,0.73692,0.033196204,0.033261991,0.053866531,NA,"0.034045589","0.019576214","0.003242796",NA,""
"31",75,"Montana",2018-09-12,"Peri_01","Montana43355Peri_01",66.27,64.38,1.89,0.0021,0.0161,0.0248,0.0079,0.0049,0.0021,0.0126,0.017,0.0061,0.0026,2.9512,115.706,120,0.12,13.88472,"0.212550199",2.48768,2.21832,3.4799,0.179166739,0.159766996,0.250628029,NA,"0.163530845","0.085958521","0.01960234",NA,""
"32",76,"Montana",2018-09-12,"Peri_02","Montana43355Peri_02",81.81,77.11,4.7,0.0034,0.0065,0.0068,0.0036,0.0037,0.0032,0.0048,0.0052,0.00387,0.0028,0.8092,118.783,120,0.12,14.25396,"0.056770189",0.5477,0.45504,1.06444,0.03842441,0.03192376,0.074676792,NA,"0.032675832","0.041661686","0.003028211",NA,""
"33",78,"Montana",2018-10-18,"Peri_01","Montana43391Peri_01",84.88,82.3,2.58,0.0012,0.003,0.005,8e-04,0.0011,9e-04,0.0018,0.0029,0.001,5e-04,0.595,136.474,120,0.12,16.37688,"0.036331707",0.51024,0.59724,0.59363,0.031156118,0.036468485,0.036248052,NA,"0.037327623","-0.001244254","0.003001732",NA,""
"34",77,"Montana",2018-10-18,"Peri_03","Montana43391Peri_03",77.27,75.64,1.63,0.0012,0.0026,0.0045,6e-04,7e-04,0.001,0.0015,0.0026,8e-04,5e-04,0.5355,56.335,180,0.18,10.1403,"0.052809088",0.46871,0.54036,0.53222,0.046222498,0.053288364,0.052485627,NA,"0.054543751","-0.002296579","0.004138438",NA,""
"35",79,"Montana",2018-11-13,"Peri_04","Montana43417Peri_04",89.21,85.98,3.23,0.0011,0.0039,0.0055,0.001,9e-04,7e-04,0.0027,0.004,0.0015,5e-04,0.6545,77.379,240,0.24,18.57096,"0.035243197",0.53961,0.4266,0.8188,0.029056656,0.022971349,0.044090343,NA,"0.023512516","0.020377514","0.003099032",NA,""
"36",80,"Montana",2018-11-13,"Peri_05","Montana43417Peri_05",68.73,66.86,1.87,8e-04,0.0021,0.0029,0,6e-04,0.0024,0.0032,0.0037,0.0026,0.002,0.3451,46.628,300,0.3,13.9884,"0.024670441",0.28005,-0.22752,0.75739,0.02002016,-0.016264905,0.054144148,NA,"-0.01664808","0.070546238","0.000428569",NA,""
"37",44,"Montana",2019-01-17,"Peri_04","Montana43482Peri_04",91.39,88.26,3.13,0.009,0.014,0.0146,0.0149,0.0113,0.0094,0.0135,0.0136,0.0141,0.0107,1.7374,103.279,180,0.18,18.59022,"0.093457743",1.11986,0.2844,2.78392,0.060239201,0.015298367,0.149751859,NA,"0.015658771","0.13341273","0.003353806",NA,""
"38",43,"Montana",2019-01-17,"Peri_05","Montana43482Peri_05",66.83,64.92,1.91,0.008,0.0151,0.0193,0.0151,0.0104,0.0094,0.0158,0.0191,0.0157,0.0112,2.2967,59.689,140,0.14,8.35646,"0.274841261",1.71055,0.05688,3.90977,0.204697922,0.00680671,0.467873956,NA,"0.006967065","0.45878123","0.014204699",NA,""
"39",42,"Montana",2019-04-03,"Peri_03","Montana43558Peri_03",77.62,75.4,2.22,0.0028,0.0056,0.0091,0.0052,0.0033,0.0032,0.0058,0.0085,0.005,0.0033,1.0829,97.474,120,0.12,11.69688,"0.092580244",0.90197,0.17064,1.73995,0.077112016,0.014588506,0.148753343,NA,"0.014932187","0.133145334","0.006047852",NA,""
"40",41,"Montana",2019-04-03,"Peri_05","Montana43558Peri_05",85.33,82.64,2.69,8e-04,0.0029,0.0034,0.0017,0.0013,0.0015,0.0025,0.0035,0.002,0.0014,0.4046,93.24,120,0.12,11.1888,"0.036161161",0.29918,-0.02844,0.71645,0.026739239,-0.002541828,0.064032783,NA,"-0.002601709","0.066343576","0.002036054",NA,""
"41",39,"Peterson",2018-04-20,"Peri_01","Peterson43210Peri_01",67.11,65.83,1.28,0.0151,0.02,0.0178,0.0166,0.0119,7e-04,0.0061,0.0084,0.0026,8e-04,2.1182,39.921,110,0.11,4.39131,"0.482361755",1.26452,2.67336,1.71948,0.287959629,0.608784167,0.391564248,NA,"0.623126129","-0.233340848","0.046689712",NA,""
"42",40,"Peterson",2018-04-20,"Peri_04","Peterson43210Peri_04",77.81,75.4,2.41,0.0032,0.0119,0.0213,0.0074,0.0031,0.002,0.0088,0.0161,0.0045,0.002,2.5347,132.154,100,0.1,13.2154,"0.191798962",2.24339,1.47888,3.29567,0.16975574,0.111905807,0.249381025,NA,"0.114542125","0.133705904","0.017510405",NA,""
